Codigo;DniCliente;NombreCliente;TelefonoCliente;EmailCliente;DireccionCasa;CiudadCasa;CpCasa;Huespedes;DiasAlquiler;CostoDia
BC84A989-AA17-FEFF-DCAD-D7EC3489B9A0;25359148;Hadley Lang;025-136-0851;tincidunt.nunc.ac@yahoo.org;Ap #184-446 Sapien. Rd.;Buenos Aires;9053;2;14;41453
C3B88B56-D834-AB7D-C2D6-12FD9AA9381B;20544916;Lynn Webb;082-398-5417;faucibus@outlook.com;9942 Odio Rd.;Buenos Aires;7556;5;15;36364
26B18DBE-88D7-5123-5DB9-7CB37EBD17D3;21225681;Daniel Campbell;059-415-3612;non.dapibus@protonmail.com;3771 Nam Road;Rio Negro;6832;5;20;54731
11FB8C48-A7C6-F17E-6D96-791C416F9855;31533440;Sebastian Meyer;039-417-2510;amet.consectetuer@protonmail.com;Ap #142-8331 Vestibulum Av.;Rio Negro;6370;3;18;38990
EEC96AB4-CC65-7D65-9F37-EA33B06143F8;18243828;Howard Robertson;027-006-7125;proin.velit@yahoo.ca;179-7658 Blandit Road;Mendoza;9002;4;25;53502
DFA1CCF6-38D3-0F94-8347-D50822DB3A5A;15059781;Ivan Gilliam;056-632-1461;vestibulum@google.com;3522 Parturient Road;Rio Negro;6748;5;8;44891
9B679502-D804-DCD5-DACD-639E2E856E5D;14337765;Lilah Dixon;043-101-2177;facilisis.vitae@outlook.edu;621 Sit Avenue;Rio Negro;4285;6;15;59728
3B681D8E-5C0C-8D54-A35A-6BCBD7224E41;27671321;Ignacia Cooley;079-276-1733;curae.phasellus@outlook.net;Ap #791-2702 Curae Ave;Buenos Aires;7863;4;26;57162
FC1E94A6-EC08-4614-7314-03BCDACF73C5;24931094;Carter Morton;078-381-6874;eget.dictum.placerat@yahoo.couk;9344 Egestas St.;Rio Negro;8450;5;28;59511
899AB274-361D-1A5E-03C7-B7D48E972E73;28034943;Judith Huber;043-397-3371;sociosqu.ad@yahoo.edu;Ap #326-5846 Nibh. Street;Buenos Aires;6548;3;9;46375
E84A2C7A-E485-EF3D-1136-3840424D8CD3;25975624;Zephania Wells;067-627-5449;eget.ipsum@aol.com;238-8696 Felis. Avenue;Buenos Aires;1292;2;27;56429
824DAAC6-1189-3B3C-B334-BA644D165733;13980884;Nicole William;034-821-3749;ornare.facilisis@google.org;3211 Interdum. Av.;Buenos Aires;1673;5;8;62078
4278C63D-37F3-A7F8-4A7D-EA0D712369BD;13446890;Aidan Hebert;028-118-6346;duis@protonmail.com;842-2568 Dapibus Rd.;Córdoba;3744;6;11;55224
EA8B4F5D-4E81-D31E-3B1A-D8BD5A60D6FA;21233497;Seth Lowe;085-139-4589;molestie.sed@outlook.couk;836-1384 Ante Rd.;Rio Negro;7174;3;22;35251
558F16DC-D383-2AA6-6CCB-3D4969333DA5;12838560;Macaulay Page;073-733-8857;tincidunt.vehicula.risus@hotmail.edu;Ap #347-5057 Dignissim St.;Buenos Aires;3155;5;9;46001
DBA1A234-136A-1F2A-4945-93237FDFE5E9;19435215;Igor Travis;026-639-4751;aliquam.erat@protonmail.net;Ap #860-1568 Egestas St.;Buenos Aires;4450;5;27;42092
E65EE7C8-C2E7-B221-5014-36E8E953397E;12546935;Elvis Randall;050-143-3850;purus@icloud.org;5540 Vitae Avenue;Mendoza;8376;5;15;60511
56BEB038-9779-CE69-ABCE-B599143E6AAD;26444787;Uma Mcleod;088-369-8528;rutrum.justo.praesent@aol.edu;Ap #272-1545 Ridiculus Ave;Buenos Aires;7383;5;19;53733
